datetime_index,ICE Cocoa Warehouse Stock Total Bags - INVENTORY VOLUME,Cocoa-ICCO Daily Price US$/MT,CSCE-COCOA COML. LONG - OPEN INTEREST,CSCE-COCOA COM. LONG FUT - OPEN INTEREST,CSCE-COCOA COM.LONG INDEX - OPEN INTEREST,CSCE-COCOA COML. SHORT - OPEN INTEREST,CSCE-COCOA COM. SHORT FUT - OPEN INTEREST,CSCE-COCOA COM.SHORT INDEX - OPEN INTEREST,CSCE-COCOA INDEX TR LONG - OPEN INTEREST,CSCE-COCOA INDEX TR SHORT - OPEN INTEREST,CSCE-COCOA MAN-MONEY LONG - OPEN INTEREST,CSCE-COCOA M-M LG F - OPEN INTEREST,CSCE-COCOA MAN-MONEY SHORT - OPEN INTEREST,CSCE-COCOA M-M SH F - OPEN INTEREST,CSCE-COCOA M-M SP - OPEN INTEREST,CSCE-COCOA M-M SP F - OPEN INTEREST,CSCE-COCOA NON-COML. LONG - OPEN INTEREST,CSCE-COCOA N-COM. LONG FUT - OPEN INTEREST,CSCE-COCOA N-COM.LONG INDEX - OPEN INTEREST,CSCE-COCOA NON-COML. SHORT - OPEN INTEREST,CSCE-COCOA N-COM. SHORT FUT - OPEN INTEREST,CSCE-COCOA NC SH IT - OPEN INTEREST,CSCE-COCOA NON-COML. SPREAD - OPEN INTEREST,CSCE-COCOA N-COM SPREAD FUT - OPEN INTEREST,CSCE-COCOA N-COM SPREAD FUT - OPEN INTEREST,CSCE-COCOA NON-REP. LONG - OPEN INTEREST,CSCE-COCOA N-REP. LONG FUT - OPEN INTEREST,CSCE-COCOA NR LG IT - OPEN INTEREST,CSCE-COCOA NON-REP. SHORT - OPEN INTEREST,CSCE-COCOA N-REP. SHORT FUT - OPEN INTEREST,CSCE-COCOA NR SH IT - OPEN INTEREST,CSCE-COCOA OTHER LONG - OPEN INTEREST,CSCE-COCOA OTHER LONG FUT - OPEN INTEREST,CSCE-COCOA OTHER SHORT - OPEN INTEREST,CSCE-COCOA OTHER SHORT FUT - OPEN INTEREST,CSCE-COCOA OTHER SPREADING - OPEN INTEREST,CSCE-COCOA OTHER SPREAD FUT - OPEN INTEREST,CSCE-COCOA PROD-USER LONG - OPEN INTEREST,CSCE-COCOA P-U LG FU - OPEN INTEREST,CSCE-COCOA PROD-USER SHORT - OPEN INTEREST,CSCE-COCOA P-U SH FU - OPEN INTEREST,CSCE-COCOA SWAP LONG - OPEN INTEREST,CSCE-COCOA SWAP LONG FUT - OPEN INTEREST,CSCE-COCOA SWAP SHORT - OPEN INTEREST,CSCE-COCOA SWAP SHORT FUT - OPEN INTEREST,CSCE-COCOA SWAP SPREADING - OPEN INTEREST,CSCE-COCOA SWAP SPREAD FUT - OPEN INTEREST,CSCE-COCOA TOTAL OI - OPEN INTEREST,CSCE-COCOA TOTAL OI FUT - OPEN INTEREST,CSCE-COCOA TOTAL OI INDEX - OPEN INTEREST,CSCE-COCOA TOTAL LONG - OPEN INTEREST,CSCE-COCOA TOTAL LONG FUT - OPEN INTEREST,CSCE-COCOA TOTAL LONG INDEX - OPEN INTEREST,CSCE-COCOA TOTAL SHORT - OPEN INTEREST,CSCE-COCOA TOTAL SHORT FUT - OPEN INTEREST,CSCE-COCOA TOT SH IT - OPEN INTEREST,S&P GSCI 1 Month Fwd Cocoa Index ER - EXCESS RETURN,S&P GSCI 1 Month Fwd Cocoa Index - PRICE INDEX,S&P GSCI 1 Month Fwd Cocoa Index TR - RETURN IND. (OFCL),S&P GSCI 3 Mth Fwd Cocoa ER - EXCESS RETURN,S&P GSCI 3 Mth Fwd Cocoa PI - PRICE INDEX,S&P GSCI 3 Mth Fwd Cocoa - RETURN IND. (OFCL),S&P GSCI Cocoa Dynamic Roll - PRICE INDEX,S&P GSCI Cocoa Dynamic Roll TR - RETURN IND. (OFCL),S&P GSCI Cocoa Dynamic Roll ER - EXCESS RETURN,S&P GSCI 2MTH Fwd Cocoa Idx ER - EXCESS RETURN,S&P GSCI 2MTH Fwd Cocoa Idx - PRICE INDEX,S&P GSCI 2MTH Fwd Cocoa Idx TR - RETURN IND. (OFCL),S&P GSCI Cocoa 12 Mth Fwd Spot - PRICE INDEX,S&P GSCI Cocoa 12 Mth Fwd TR - RETURN IND. (OFCL),S&P GSCI Cocoa 12 Mth Fwd XS - EXCESS RETURN,S&P GSCI Cocoa 6 Mth Fwd Spot - PRICE INDEX,S&P GSCI Cocoa 6 Mth Fwd TR - RETURN IND. (OFCL),S&P GSCI Cocoa 6 Mth Fwd XS - EXCESS RETURN
2014-02-19,3551556,2993.96,69188,65779,52469,163450,160118,161814,27281,1636,93735,94796,13609,14021,25985,17828,104125,106023,93563,18580,20528,18580,49189,27384,49189,14029,13614,14029,5310,4770,5310,10389,11227,4972,6507,23203,9556,50239,48071,153572,151622,15643,15868,6573,6656,3305,1840,236529,212800,236529,222501,199186,222501,231219,208030,231219,82.9457,219.7752,141.5436,86.62,216.41,147.82,224.84,143.02,83.81,78.31,204.95,132.96,95.14,90.57,90.37,116.12,106.76,106.21
2014-02-20,3860997,3031.04,69188,65779,52469,163450,160118,161814,27281,1636,93735,94796,13609,14021,25985,17828,104125,106023,93563,18580,20528,18580,49189,27384,49189,14029,13614,14029,5310,4770,5310,10389,11227,4972,6507,23203,9556,50239,48071,153572,151622,15643,15868,6573,6656,3305,1840,236529,212800,236529,222501,199186,222501,231219,208030,231219,84.1331,222.9213,143.57,87.8,219.35,149.83,227.9,144.96,84.95,79.38,207.74,134.77,96.21,91.59,91.39,117.5,108.03,107.48
2014-02-21,3997618,3006.37,69188,65779,52469,163450,160118,161814,27281,1636,93735,94796,13609,14021,25985,17828,104125,106023,93563,18580,20528,18580,49189,27384,49189,14029,13614,14029,5310,4770,5310,10389,11227,4972,6507,23203,9556,50239,48071,153572,151622,15643,15868,6573,6656,3305,1840,236529,212800,236529,222501,199186,222501,231219,208030,231219,83.3981,220.9737,142.3159,87.07,217.51,148.58,225.99,143.75,84.23,78.71,205.99,133.64,95.66,91.07,90.87,116.63,107.23,106.68
2014-02-24,4094462,3007,69188,65779,52469,163450,160118,161814,27281,1636,93735,94796,13609,14021,25985,17828,104125,106023,93563,18580,20528,18580,49189,27384,49189,14029,13614,14029,5310,4770,5310,10389,11227,4972,6507,23203,9556,50239,48071,153572,151622,15643,15868,6573,6656,3305,1840,236529,212800,236529,222501,199186,222501,231219,208030,231219,83.6242,221.573,142.7024,87.33,218.18,149.03,226.68,144.18,84.49,78.95,206.62,134.05,95.76,91.16,90.96,116.91,107.48,106.94
2014-02-25,4092881,2975.33,72125,68202,55692,163743,160350,162105,27046,1638,91875,93461,12562,13227,28900,19195,100809,103598,90196,17357,19643,17357,49727,25410,49727,13190,12800,13190,5024,4607,5024,8934,10137,4795,6416,20827,6215,53144,50760,153835,151824,15381,15721,6308,6805,3600,1721,235851,210010,235851,222661,197210,222661,230827,205403,230827,82.5782,218.8015,140.9176,86.24,215.45,147.17,223.85,142.39,83.44,77.96,204.04,132.38,94.75,90.2,90,115.64,106.32,105.78
2014-02-26,4054148,2983.93,72125,68202,55692,163743,160350,162105,27046,1638,91875,93461,12562,13227,28900,19195,100809,103598,90196,17357,19643,17357,49727,25410,49727,13190,12800,13190,5024,4607,5024,8934,10137,4795,6416,20827,6215,53144,50760,153835,151824,15381,15721,6308,6805,3600,1721,235851,210010,235851,222661,197210,222661,230827,205403,230827,82.8892,219.6254,141.4484,86.6,216.34,147.77,224.77,142.97,83.78,78.28,204.88,132.92,95.07,90.51,90.31,116.12,106.76,106.21
2014-02-27,4038298,3005.5,72125,68202,55692,163743,160350,162105,27046,1638,91875,93461,12562,13227,28900,19195,100809,103598,90196,17357,19643,17357,49727,25410,49727,13190,12800,13190,5024,4607,5024,8934,10137,4795,6416,20827,6215,53144,50760,153835,151824,15381,15721,6308,6805,3600,1721,235851,210010,235851,222661,197210,222661,230827,205403,230827,83.5394,221.3483,142.5582,87.27,218.03,148.93,226.52,144.09,84.43,78.9,206.48,133.96,95.69,91.1,90.9,116.99,107.56,107.01
2014-02-28,4117130,3017.61,72125,68202,55692,163743,160350,162105,27046,1638,91875,93461,12562,13227,28900,19195,100809,103598,90196,17357,19643,17357,49727,25410,49727,13190,12800,13190,5024,4607,5024,8934,10137,4795,6416,20827,6215,53144,50760,153835,151824,15381,15721,6308,6805,3600,1721,235851,210010,235851,222661,197210,222661,230827,205403,230827,83.596,221.4981,142.6549,87.36,218.25,149.08,226.75,144.23,84.52,78.98,206.69,134.09,95.92,91.32,91.11,117.23,107.78,107.22
2014-03-03,4123898,2983.04,72125,68202,55692,163743,160350,162105,27046,1638,91875,93461,12562,13227,28900,19195,100809,103598,90196,17357,19643,17357,49727,25410,49727,13190,12800,13190,5024,4607,5024,8934,10137,4795,6416,20827,6215,53144,50760,153835,151824,15381,15721,6308,6805,3600,1721,235851,210010,235851,222661,197210,222661,230827,205403,230827,82.4934,218.5767,140.7739,86.18,215.31,147.07,223.7,142.29,83.38,77.91,203.9,132.29,94.88,90.32,90.12,115.84,106.5,105.96
2014-03-04,4121771,3015,73356,69016,56514,165080,161369,162625,26961,2455,93848,95458,13472,14368,29732,19410,100524,103346,90405,17540,19754,17540,49946,24685,49946,13972,13552,13972,5231,4791,5231,6676,7888,4068,5386,20213,5275,53593,51005,153269,151044,15417,15672,7466,7986,4345,2339,237797,210599,237797,223825,197047,223825,232566,205808,232566,83.5677,221.4232,142.6073,87.24,217.95,148.88,226.45,144.04,84.4,78.87,206.41,133.91,96.05,91.44,91.24,117.19,107.74,107.19
2014-03-05,4120623,3031.72,73356,69016,56514,165080,161369,162625,26961,2455,93848,95458,13472,14368,29732,19410,100524,103346,90405,17540,19754,17540,49946,24685,49946,13972,13552,13972,5231,4791,5231,6676,7888,4068,5386,20213,5275,53593,51005,153269,151044,15417,15672,7466,7986,4345,2339,237797,210599,237797,223825,197047,223825,232566,205808,232566,83.9635,222.4719,143.2829,87.69,219.06,149.64,227.59,144.77,84.83,79.27,207.46,134.59,96.54,91.91,91.7,117.82,108.32,107.77
2014-03-06,4098808,3025.11,73356,69016,56514,165080,161369,162625,26961,2455,93848,95458,13472,14368,29732,19410,100524,103346,90405,17540,19754,17540,49946,24685,49946,13972,13552,13972,5231,4791,5231,6676,7888,4068,5386,20213,5275,53593,51005,153269,151044,15417,15672,7466,7986,4345,2339,237797,210599,237797,223825,197047,223825,232566,205808,232566,83.7091,221.7977,142.8489,87.36,218.25,149.08,226.75,144.23,84.52,78.98,206.69,134.1,96.38,91.75,91.55,117.46,108,107.44
2014-03-07,4360976,3042.58,73356,69016,56514,165080,161369,162625,26961,2455,93848,95458,13472,14368,29732,19410,100524,103346,90405,17540,19754,17540,49946,24685,49946,13972,13552,13972,5231,4791,5231,6676,7888,4068,5386,20213,5275,53593,51005,153269,151044,15417,15672,7466,7986,4345,2339,237797,210599,237797,223825,197047,223825,232566,205808,232566,84.2745,223.3857,143.814,87.98,219.88,150.14,228.36,145.26,85.12,79.53,208.15,135.05,97.06,92.4,92.2,118.3,108.76,108.2
2014-03-10,4382382,3042.13,73356,69016,56514,165080,161369,162625,26961,2455,93848,95458,13472,14368,29732,19410,100524,103346,90405,17540,19754,17540,49946,24685,49946,13972,13552,13972,5231,4791,5231,6676,7888,4068,5386,20213,5275,53593,51005,153269,151044,15417,15672,7466,7986,4345,2339,237797,210599,237797,223825,197047,223825,232566,205808,232566,84.3592,223.7003,143.9593,88.07,220.19,150.29,228.59,145.4,85.2,79.61,208.36,135.18,97.03,92.37,92.17,118.45,108.91,108.35
2014-03-11,4398070,3064,73249,68060,56006,164558,159576,161443,27797,3114,96469,97688,20506,21661,32513,21100,104874,107508,94321,24437,26910,24437,54485,26812,54485,16063,15572,16063,5191,4654,5191,8405,9820,3931,5249,21972,5712,52939,50057,151608,148699,15057,15430,7696,8304,5253,2573,248672,217952,248672,232609,202380,232609,243480,213298,243480,84.9694,225.3932,145.0007,88.7,221.87,151.36,230.19,146.42,85.8,80.17,209.83,136.13,97.81,93.12,92.91,119.33,109.71,109.14
2014-03-12,4408190,3016.55,73249,68060,56006,164558,159576,161443,27797,3114,96469,97688,20506,21661,32513,21100,104874,107508,94321,24437,26910,24437,54485,26812,54485,16063,15572,16063,5191,4654,5191,8405,9820,3931,5249,21972,5712,52939,50057,151608,148699,15057,15430,7696,8304,5253,2573,248672,217952,248672,232609,202380,232609,243480,213298,243480,83.3259,221.1535,142.1963,87.04,217.84,148.53,225.84,143.65,84.18,78.66,205.85,133.55,96.08,91.47,91.27,117.19,107.74,107.19
2014-03-13,4402168,3064.16,73249,68060,56006,164558,159576,161443,27797,3114,96469,97688,20506,21661,32513,21100,104874,107508,94321,24437,26910,24437,54485,26812,54485,16063,15572,16063,5191,4654,5191,8405,9820,3931,5249,21972,5712,52939,50057,151608,148699,15057,15430,7696,8304,5253,2573,248672,217952,248672,232609,202380,232609,243480,213298,243480,84.9967,225.6928,145.0477,88.75,222.22,151.45,230.35,146.52,85.86,80.23,209.97,136.22,98.01,93.3,93.1,119.52,109.89,109.33
2014-03-14,4563661,3055.77,73249,68060,56006,164558,159576,161443,27797,3114,96469,97688,20506,21661,32513,21100,104874,107508,94321,24437,26910,24437,54485,26812,54485,16063,15572,16063,5191,4654,5191,8405,9820,3931,5249,21972,5712,52939,50057,151608,148699,15057,15430,7696,8304,5253,2573,248672,217952,248672,232609,202380,232609,243480,213298,243480,84.63,224.7191,144.4221,88.37,221.27,150.8,229.35,145.89,85.49,79.88,209.06,135.63,97.55,92.87,92.66,119.01,109.42,108.86
